"3822000000PINE BLUFF, AR                                    GSE  S01330000726200092985011239001396800AR079ARKANSAS                  LINCOLN                2023010101330002022"
"4550000000TEXARKANA, TX-AR                                  GSE  S01760000726200092985011239001396800AR081ARKANSAS                  LITTLE RIVER           2023010101760002022"
9999900000NON-METRO                                         GSE  S01460000726200092985011239001396800AR083ARKANSAS                  LOGAN                  2023010101460002022
"3078000000LITTLE ROCK-NORTH LITTLE ROCK-CONWAY, AR          GSE  S02080000726200092985011239001396800AR085ARKANSAS                  LONOKE                 2023010102080002022"
"2222000000FAYETTEVILLE-SPRINGDALE-ROGERS, AR                GSE  S03000000726200092985011239001396800AR087ARKANSAS                  MADISON                2023010103000002022"
9999900000NON-METRO                                         GSE  S01790000726200092985011239001396800AR089ARKANSAS                  MARION                 2023010101790002022
"4550000000TEXARKANA, TX-AR                                  GSE  S01760000726200092985011239001396800AR091ARKANSAS                  MILLER                 2023010101760002022"
"1418000000BLYTHEVILLE, AR                                   GSE  S00790000726200092985011239001396800AR093ARKANSAS                  MISSISSIPPI            2023010101080002019"
9999900000NON-METRO                                         GSE  S01120000726200092985011239001396800AR095ARKANSAS                  MONROE                 2023010101120002022
9999900000NON-METRO                                         GSE  S01510000726200092985011239001396800AR097ARKANSAS                  MONTGOMERY             2023010101510002022
"2626000000HOPE, AR                                          GSE  S00900000726200092985011239001396800AR099ARKANSAS                  NEVADA                 2023010100900002022"
"2546000000HARRISON, AR                                      GSE  S01720000726200092985011239001396800AR101ARKANSAS                  NEWTON                 2023010101720002022"
"1578000000CAMDEN, AR                                        GSE  S00800000726200092985011239001396800AR103ARKANSAS                  OUACHITA               2023010101730002009"
"3078000000LITTLE ROCK-NORTH LITTLE ROCK-CONWAY, AR          GSE  S02080000726200092985011239001396800AR105ARKANSAS                  PERRY                  2023010102080002022"
"2576000000HELENA-WEST HELENA, AR                            GSE  S00480000726200092985011239001396800AR107ARKANSAS                  PHILLIPS               2023010100650002013"
9999900000NON-METRO                                         GSE  S01170000726200092985011239001396800AR109ARKANSAS                  PIKE                   2023010101490002020
"2786000000JONESBORO, AR                                     GSE  S01850000726200092985011239001396800AR111ARKANSAS                  POINSETT               2023010101850002022"
9999900000NON-METRO                                         GSE  S01070000726200092985011239001396800AR113ARKANSAS                  POLK                   2023010101070002022
"4078000000RUSSELLVILLE, AR                                  GSE  S01500000726200092985011239001396800AR115ARKANSAS                  POPE                   2023010101500002022"
9999900000NON-METRO                                         GSE  S01000000726200092985011239001396800AR117ARKANSAS                  PRAIRIE                2023010101000002022
"3078000000LITTLE ROCK-NORTH LITTLE ROCK-CONWAY, AR          GSE  S02080000726200092985011239001396800AR119ARKANSAS                  PULASKI                2023010102080002022"
9999900000NON-METRO                                         GSE  S01100000726200092985011239001396800AR121ARKANSAS                  RANDOLPH               2023010101100002022
"2262000000FORREST CITY, AR                                  GSE  S00680000726200092985011239001396800AR123ARKANSAS                  ST. FRANCIS            2023010100680002022"
"3078000000LITTLE ROCK-NORTH LITTLE ROCK-CONWAY, AR          GSE  S02080000726200092985011239001396800AR125ARKANSAS                  SALINE                 2023010102080002022"
9999900000NON-METRO                                         GSE  S00890000726200092985011239001396800AR127ARKANSAS                  SCOTT                  2023010100890002022
9999900000NON-METRO                                         GSE  S00900000726200092985011239001396800AR129ARKANSAS                  SEARCY                 2023010100900002022
"2290000000FORT SMITH, AR-OK                                 GSE  S01520000726200092985011239001396800AR131ARKANSAS                  SEBASTIAN              2023010101750002020"
9999900000NON-METRO                                         GSE  S00900000726200092985011239001396800AR133ARKANSAS                  SEVIER                 2023010100910002020
"1290000000BATESVILLE, AR                                    GSE  S01150000726200092985011239001396800AR135ARKANSAS                  SHARP                  2023010101150002022"
9999900000NON-METRO                                         GSE  S01840000726200092985011239001396800AR137ARKANSAS                  STONE                  2023010101840002022
"2098000000EL DORADO, AR                                     GSE  S00950000726200092985011239001396800AR139ARKANSAS                  UNION                  2023010101150002009"
9999900000NON-METRO                                         GSE  S00950000726200092985011239001396800AR141ARKANSAS                  VAN BUREN              2023010100950002022
"2222000000FAYETTEVILLE-SPRINGDALE-ROGERS, AR                GSE  S03000000726200092985011239001396800AR143ARKANSAS                  WASHINGTON             2023010103000002022"
"4262000000SEARCY, AR                                        GSE  S01380000726200092985011239001396800AR145ARKANSAS                  WHITE                  2023010101380002022"
9999900000NON-METRO                                         GSE  S01010000726200092985011239001396800AR147ARKANSAS                  WOODRUFF               2023010101010002022
