fha_loans,state_abbr,state,,county_name,median_home_value,gse_type,gse_1,gse_2,gse_3,gse_4," gse_1,gse_2,gse_3,gse_4, ",limit_type,fha_1,fha_2,fha_3,fha_4,"fha_1,fha_2,fha_3,fha_4",
AR-017,AR, ARKANSAS ,017,CHICOT COUNTY,50000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","787750,1008450,1219000,1514950"
AR-019,AR, ARKANSAS ,019,CLARK COUNTY,211000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","828000,1060000,1281300,1592350"
AR-021,AR, ARKANSAS ,021,CLAY COUNTY,108000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","845250,1082100,1308000,1625500"
AR-023,AR, ARKANSAS ,023,CLEBURNE COUNTY,149000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","856750,1096800,1325800,1647650"
AR-025,AR, ARKANSAS ,025,CLEVELAND COUNTY,133000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","861350,1102700,1332900,1656450"
AR-027,AR, ARKANSAS ,027,COLUMBIA COUNTY,119000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","1045350,1338250,1617650,2010350"
AR-029,AR, ARKANSAS ,029,CONWAY COUNTY,154000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","874000,1118900,1352450,1680800"
AR-031,AR, ARKANSAS ,031,CRAIGHEAD COUNTY,185000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","890100,1139500,1377400,1711750"
AR-033,AR, ARKANSAS ,033,CRAWFORD COUNTY,152000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","911950,1167450,1411200,1753800"
AR-035,AR, ARKANSAS ,035,CRITTENDEN COUNTY,303000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","915400,1171900,1416550,1760400"
AR-037,AR, ARKANSAS ,037,CROSS COUNTY,111000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","948750,1214600,1468150,1824550"
AR-039,AR, ARKANSAS ,039,DALLAS COUNTY,56000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","1089300,1394775,1685850,2095200"
AR-041,AR, ARKANSAS ,041,DESHA COUNTY,78000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","953350,1220450,1475250,1833400"
AR-043,AR, ARKANSAS ,043,DREW COUNTY,140000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","977500,1251400,1512650,1879850"
AR-045,AR, ARKANSAS ,045,FAULKNER COUNTY,208000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","1017750,1302900,1574900,1957250"
AR-047,AR, ARKANSAS ,047,FRANKLIN COUNTY,152000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","1075250,1376550,1663900,2067850"
AR-049,AR, ARKANSAS ,049,FULTON COUNTY,95000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","533600,683100,825700,1026150"
AR-051,AR, ARKANSAS ,051,GARLAND COUNTY,175000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","770500,986400,1192300,1481750"
AR-053,AR, ARKANSAS ,053,GRANT COUNTY,208000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","962550,1232250,1489500,1851100"
AR-055,AR, ARKANSAS ,055,GREENE COUNTY,140000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","581900,744950,900450,1119050"
AR-057,AR, ARKANSAS ,057,HEMPSTEAD COUNTY,90000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
AR-059,AR, ARKANSAS ,059,HOT SPRING COUNTY,139000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
AR-061,AR, ARKANSAS ,061,HOWARD COUNTY,86000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
AR-063,AR, ARKANSAS ,063,INDEPENDENCE COUNTY,115000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
AR-065,AR, ARKANSAS ,065,IZARD COUNTY,95000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
AR-067,AR, ARKANSAS ,067,JACKSON COUNTY,97000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
AR-069,AR, ARKANSAS ,069,JEFFERSON COUNTY,133000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
AR-071,AR, ARKANSAS ,071,JOHNSON COUNTY,146000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
AR-073,AR, ARKANSAS ,073,LAFAYETTE COUNTY,80000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
AR-075,AR, ARKANSAS ,075,LAWRENCE COUNTY,67000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
AR-077,AR, ARKANSAS ,077,LEE COUNTY,104000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
AR-079,AR, ARKANSAS ,079,LINCOLN COUNTY,133000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
AR-081,AR, ARKANSAS ,081,LITTLE RIVER COUNTY,176000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
AR-083,AR, ARKANSAS ,083,LOGAN COUNTY,146000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
AR-085,AR, ARKANSAS ,085,LONOKE COUNTY,208000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
AR-087,AR, ARKANSAS ,087,MADISON COUNTY,300000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
AR-089,AR, ARKANSAS ,089,MARION COUNTY,179000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
AR-091,AR, ARKANSAS ,091,MILLER COUNTY,176000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
AR-093,AR, ARKANSAS ,093,MISSISSIPPI COUNTY,79000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
AR-095,AR, ARKANSAS ,095,MONROE COUNTY,112000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900",
